canonical_id,canonical_name,aliases,gc_organization_id,gc_url,categories,official_website,uf_page,link_hub,instagram_handle,instagram_url,instagram_confidence,instagram_match_method,needs_review,status
gc-430962,180 Degrees Consulting at UF,180DC,430962,https://gatorconnect.ufl.edu/organization/180dc,Academic|Service|Special Interest|Professional,,https://gatorconnect.ufl.edu/organization/180dc,,,,,,False,Active
gc-429964,3D Printing Club,3DPC,429964,https://gatorconnect.ufl.edu/organization/3dprintingclub,Academic|Special Interest,https://3dprintclub.org,https://gatorconnect.ufl.edu/organization/3dprintingclub,,3dprintUF,https://www.instagram.com/3dprintUF/,HIGH,gatorconnect_explicit_link,False,Active
gc-430483,A Private Inn,,430483,https://gatorconnect.ufl.edu/organization/a_private_inn,Social|Special Interest,https://groupme.com/join_group/91848249/1N2kgEhF,https://gatorconnect.ufl.edu/organization/a_private_inn,,,,,,False,Active
gc-431786,Academic Allies,,431786,https://gatorconnect.ufl.edu/organization/academicallies,Academic|Service|Special Interest|Professional,https://ufacademicallies.netlify.app,https://gatorconnect.ufl.edu/organization/academicallies,,ufacademicallies,https://www.instagram.com/ufacademicallies/,HIGH,gatorconnect_explicit_link,False,Active
gc-432203,Academy of Managed Care Pharmacy,AMCP,432203,https://gatorconnect.ufl.edu/organization/amcp,Academic,,https://gatorconnect.ufl.edu/organization/amcp,,ufamcpgnv,https://www.instagram.com/ufamcpgnv/,HIGH,gatorconnect_explicit_link,False,Active
gc-432416,Academy of Managed Care Pharmacy - Orlando Campus,AMCP-ORL,432416,https://gatorconnect.ufl.edu/organization/amcporl,Special Interest|Professional,,https://gatorconnect.ufl.edu/organization/amcporl,,,,,,False,Active
gc-432418,Accent A Cappella,Accent,432418,https://gatorconnect.ufl.edu/organization/nsaccent,Special Interest,https://nsaccent.com,https://gatorconnect.ufl.edu/organization/nsaccent,,nsaccent,https://www.instagram.com/nsaccent/,MEDIUM,official_website_or_linkhub_homepage,False,Active
gc-432025,ACS Cancer Action Network at UF,,432025,https://gatorconnect.ufl.edu/organization/acscanatuf,Political|Service,,https://gatorconnect.ufl.edu/organization/acscanatuf,,,,,,False,Active
gc-433345,Ad Society,,433345,https://gatorconnect.ufl.edu/organization/ufadsociety,Academic|Social|Professional,https://ufadsociety.wixsite.com/ad-society,https://gatorconnect.ufl.edu/organization/ufadsociety,,ufadsociety,https://www.instagram.com/ufadsociety/,HIGH,gatorconnect_explicit_link,False,Active
gc-429927,Advanced Professional Degree Consulting Club,APDCC,429927,https://gatorconnect.ufl.edu/organization/apdccufl,Academic,https://apdccufl.com,https://gatorconnect.ufl.edu/organization/apdccufl,,,,,,False,Active
gc-431605,Adventist Christian Fellowship,ACF,431605,https://gatorconnect.ufl.edu/organization/acf,Religious/Spiritual |Service,,https://gatorconnect.ufl.edu/organization/acf,,,,,,False,Active
gc-432420,advnt,,432420,https://gatorconnect.ufl.edu/organization/advnt,Academic|Professional,https://advntuf.com,https://gatorconnect.ufl.edu/organization/advnt,,advntuf,https://www.instagram.com/advntuf/,MEDIUM,official_website_or_linkhub_homepage,False,Active
gc-432427,AeroGator,AG,432427,https://gatorconnect.ufl.edu/organization/aerogator,Engineering & Technology,,https://gatorconnect.ufl.edu/organization/aerogator,,,,,,False,Active
gc-432023,Afaq Cultural Society,ACS,432023,https://gatorconnect.ufl.edu/organization/acs,Cultural|Social,,https://gatorconnect.ufl.edu/organization/acs,,,,,,False,Active
gc-432632,African Student Union,ASU,432632,https://gatorconnect.ufl.edu/organization/asu,Cultural|Social,,https://gatorconnect.ufl.edu/organization/asu,,,,,,False,Active
gc-433244,Agricultural and Biological Engineering Graduate Student Organization,ABE GSO,433244,https://gatorconnect.ufl.edu/organization/abegso,Academic|Service|Social|Professional|Engineering & Technology,,https://gatorconnect.ufl.edu/organization/abegso,,,,,,False,Active
gc-431569,Agricultural Economics Club,Ag Econ Club,431569,https://gatorconnect.ufl.edu/organization/ageconclub,Academic|Service|Social|Special Interest|Professional,,https://fred.ifas.ufl.edu/undergraduate/get-involved/ag-econ-club,,,,,,False,Active
gc-431934,AI in Healthcare Club,AIH,431934,https://gatorconnect.ufl.edu/organization/aiihealthcareclub,Academic|Special Interest|Engineering & Technology,https://groupme.com/join_group/99385312/Qr7n8jbA,https://gatorconnect.ufl.edu/organization/aiihealthcareclub,,,,,,False,Active
gc-432020,AI² Center Student Club,AI Club; AI² Club,432020,https://gatorconnect.ufl.edu/organization/aiclub,Academic|Professional|Engineering & Technology,,https://ai.ufl.edu/about/the-ai-center/ai-student-club,,,,,,False,Active
gc-433381,Alagarto Printmakers Guild,Alagarto,433381,https://gatorconnect.ufl.edu/organization/alagarto,Social|Special Interest,,https://gatorconnect.ufl.edu/organization/alagarto,,,,,,False,Active
gc-432431,Albanian Student Association,ALBSA,432431,https://gatorconnect.ufl.edu/organization/ufalbsa,Cultural|Social,,https://gatorconnect.ufl.edu/organization/ufalbsa,,,,,,False,Active
gc-431973,Alexander Hamilton Society,AHS,431973,https://gatorconnect.ufl.edu/organization/alexanderhamiltonsociety,Political|Professional,,https://gatorconnect.ufl.edu/organization/alexanderhamiltonsociety,,,,,,False,Active
gc-430252,ALPHA CHI OMEGA,,430252,https://gatorconnect.ufl.edu/organization/alphachiomega,Social Sorority/Fraternity (RSO SSF),https://ufalphachiomega.org,https://gatorconnect.ufl.edu/organization/alphachiomega,,ufaxo,https://www.instagram.com/ufaxo/,HIGH,gatorconnect_explicit_link,False,Active
gc-431687,Alpha Chi Sigma - Beta Iota Chapter,AXS - BI,431687,https://gatorconnect.ufl.edu/organization/alphachisigmabi,Academic|Service|Social|Social Fraternities/Sororities |Professional,https://sites.google.com/view/alphachisigmauf/home,https://gatorconnect.ufl.edu/organization/alphachisigmabi,,alphachisigmauf,https://www.instagram.com/alphachisigmauf/,HIGH,gatorconnect_explicit_link,False,Active
gc-430251,ALPHA DELTA PI,,430251,https://gatorconnect.ufl.edu/organization/alphadeltapi,Social Sorority/Fraternity (RSO SSF),,https://gatorconnect.ufl.edu/organization/alphadeltapi,,adpiuf,https://www.instagram.com/adpiuf/,HIGH,gatorconnect_explicit_link,False,Active
gc-431235,Alpha Epsilon Delta,AED,431235,https://gatorconnect.ufl.edu/organization/aed,Academic|Honor Societies|Service|Special Interest,https://aeduf.org,https://gatorconnect.ufl.edu/organization/aed,,ufaed,https://www.instagram.com/ufaed/,HIGH,gatorconnect_explicit_link,False,Active
